frame = 21746	 simulation time = 434.90	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 64red
frame = 21747	 simulation time = 434.92	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 64red
frame = 21748	 simulation time = 434.94	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 64red
frame = 21749	 simulation time = 434.96	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 64red
frame = 21750	 simulation time = 434.98	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 64red
frame = 21751	 simulation time = 435.00	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 64red
frame = 21752	 simulation time = 435.02	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 64red
frame = 21753	 simulation time = 435.04	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 64red
frame = 21754	 simulation time = 435.06	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 64red
frame = 21755	 simulation time = 435.08	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 64red
frame = 21756	 simulation time = 435.10	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 64red
frame = 21757	 simulation time = 435.12	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 64red
frame = 21758	 simulation time = 435.14	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 64red
frame = 21759	 simulation time = 435.16	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 64red
frame = 21760	 simulation time = 435.18	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 64red
frame = 21761	 simulation time = 435.20	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 64red
frame = 21762	 simulation time = 435.22	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 64red
frame = 21763	 simulation time = 435.24	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 64red
frame = 21764	 simulation time = 435.26	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 64red
frame = 21765	 simulation time = 435.28	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 64red
frame = 21766	 simulation time = 435.30	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 64red
frame = 21767	 simulation time = 435.32	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 64red
frame = 21768	 simulation time = 435.34	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 64red
